city,company_name,contact_person,designation,email,fax,mobile,phone,pincode,state,street_Address,website
NEW DELHI,24X7 TRAVELS.COM,MS. DEEP KAUR,PROPRIETOR,harry@24x7travels.com,.,+91 .,"011-41510100, 41502421",110001,DELHI,"SHOP NO. 7, REGAL BUILDING, BEHIND REGAL CINEMA, CONNAUGHT PLACE",www.24x7travels.com
NEW DELHI,ADVENTURE TOURS,MR. S.B. GURONG,PROPRIETOR,info@advtours.in,011-26190593,981234567,"011-26163909, 26168214,49",,DELHI,"238-239, SOMDUTT CHAMBERS-II 9, BHIKAJI CAMA PLACE",www.adventure-tours.in
RAJKOT,ADLER TOURS AND SAFARIS PVT. LTD.,MR. MAHENDRA H. RAWAL,C.E.O.,adlertourssafaris6@gmail.com,0281-2483878,.,0281-2465237/3016355,360002,GUJARAT,"OFF MANGLA MAIN ROAD, 13 MANHAR PLOT",www.adler-tours.com
GURGAON,ADIONA TRAVELS PVT. LTD.,MR. LALIT MOHAN SHARMA,DIRECTOR,info@adionatravels.com,.,0091-9899817454,0091-124-2385341,122002,HARYANA,"685, BASEMENT, SEC -52, NEAR ARTEMIS HOSPITAL",www.adionatravels.com
NEW DELHI,ADIEU HOLIDAYS PVT.LTD.,MR. VINOD KUMAR YADAV,DIRECTOR,info@adieuholidays.com,.,0091-8375057423,011-45792288,110058,DELHI,"B-9, SUNEJA TOWER-1,DISTRICT CENTRE, JANAKPURI",www.adieuholidays.com
NEW DELHI,ADVENTURE WORLD (INDIA) PVT. LTD.,MR. RAJ BAJAJ,MANAGING DIRECTOR,bajaj@adventureworldindia.com,011-25751536,-9811297513,"011-25724462,25721861,257",110008,DELHI,"108 PRAGATI TOWER 26, RAJENDRA PLACE",www.adventureworldindia.com
GURGAON,ADVENTURES OVERLAND,MR. SANJAY MADAN,CO-FOUNDER,adventuresoverland@gmail.com,0124-4046316,.,0124-4046316,122001,HARYANA,"930-B, 9TH FLOOR, SECTOR-49, SPAZE IT TECH PARK SOHNA ROAD",http://www.adventuresoverland.com/
COIMBATORE,ADVENTURE UNLIMITED,MS.SHYAMALA JAYSHANKAR,PROPRIETOR,adventunlimited@yahoo.com,0422-4348025,.,0422-4348025,,TAMIL NADU,"A-29, PARSN PALM LEGEND, ONDIPUDEEV",www.adventuresunlimitedindia.com
NEW DELHI,ACTIVE INDIA HOLIDAYS PVT. LTD.,MR.RAVINDER TICKOO,MANAGING DIRECTOR,ravi@activeindiaholidays.com,011-25534003,.,"011-256139868, 25545339",110058,DELHI,"803-804, KIRTI SHIKHAR DISTRICT CENTRE JANAKPURI",www.activeindiaholidays.com
MUMBAI,ACTIVE HOLIDAYS,MR.WASIM SHAIKH,DIRECTOR,info@activeholidays.in,022-22631747,+91-9320177491,"022-22621747,22631747",400001,MAHARASHTRA,"9, SAI VIHAR, 22 MINT BACK ROAD FORT",www.activeholidays.in
MUMBAI,ADARSH RENT-A-CAR PVT. LTD.,MR. ANIL KUMAR KEDIA,DIRECTOR,bookings@adarshrentcar.com,022-23630836,,"022-23683666,23683777,",,MAHARASHTRA,"KEDIA APARTMENTS, 29/F DONGERSHI ROAD, MALABAR HILL",www.adarshrentacar.com
SURAT,ACE TOURS,MR. CHOKSI RAJU,PARTNER,raju@acetourindia.com,0261-2656851,.,0261-2656850,,GUJARAT,"F-22/23/24, JOLLY ARCADE GHOD DOD ROAD",www.acetourindia.com
NEW DELHI,ACME TOURS & TRAVELS PVT. LTD.,MR.SURINDER YADAV,DIRECTOR,acme@acmetours.com,0091-11-25816299,0091- 98 73 187 013,"0091-11-25731568,25743210",110008,DELHI,"501, KIRTI MAHAL 19, RAJENDRA PLACE",www.acmetours.com
NEW DELHI,ABYSS TOURS INC,MR.SAJAD AHMAD,PROPRIETOR,sajad@abysstoursinc.com,,NULL,011-43305948,,DELHI,"15A/56, B-1, LOWER GROUND FLOOR, WEA, SARASWATI MARG",www.abysstoursinc.com
MUMBAI,ZUBINS ROYAL FLEET,MR.ZUBIN KHAPOLIWALA,PROPRIETOR,zubinsroyalfleet@yahoo.com,022-23093227,.,022-23093227/23050728,400008,MAHARASHTRA,"MUNCHER MANZIL, GROUND FLOOR, 35/C JAIRAJ BHAI LANE, R.S. NIMKAR MARG",
NEW DELHI,ZUTSHI TRAVEL WORLD SERVICE PRIVATE LIMITED,MR. AJAY AHUJA,MG. DIRECTOR,info@zutshitravel.com,011-29246830,9717896058,"011-29246831, 29246832",110048,DELHI,"40, COMMUNITY CENTER ZAMRUDPUR",www.zutshitravel.com
NEW DELHI,ABM TRAVELS & TOURS (P) LTD.,MR. B.S. CHUGH,CHAIRMAN,info@abmtravels.net,011-47400000,,"011-47400000, (M) 9810062",,DELHI,"B-82, 1ST FLOOR DEFENCE COLONY",www.abmtravels.net
CHITTORGARH,ABSOLUTE INDIA TOURS,MS. PARVATI SUKWAL,DIRECTOR,absoluteindiatours@rediffmail.com,.,0091 - 9414110090,01472 - 243245,312001,RAJASTHAN,"NEAR TULJA BHAWANI TEMPLE, FORT CHITTORGARH",absoluteindiatours@rediffmail.com
NEW DELHI,ZAIREEN TRAVEL SERVICE,MR.FAISAL SIDDIQUI,PARTNER,info@zaireen.com,011-23357021,,011-23715514,,DELHI,"VANDANA BUILDING, 11 TOLSTOY MARG, CONNAUGHT PLACE",www.zakagroup.com
KOLKATA,ZENITH LEISURE HOLIDAYS (P) LTD.,MR. AMITAVA BISWAS,MKTG. MANAGER,kolkata@zenithholidays.com,033-30583919,.,033-30583900 (18 LINES),700 019,WEST BENGAL,"68, BALLYGUNGE CIRCULAR ROAD ANNAPURNA APARTMENT,BLOCK B, I FLOOR",www.zenithholidays.com
